 ,bus,dog,sheep,aeroplane,bicycle,bird,boat,bottle,car,cat,chair,cow,diningtable,horse,motorbike,person,pottedplant,sofa,train,tvmonitor
ALL (%),1.7,3.4,2.3,2.1,2.7,3.8,2.5,4.0,10.5,2.5,9.1,2.3,2.0,2.6,2.5,34.8,4.0,2.7,2.1,2.3
Small (%),0.1,0.0,0.7,0.2,0.2,0.4,0.4,1.0,2.0,0.0,0.6,0.3,0.0,0.1,0.1,4.6,0.5,0.0,0.0,0.1
Mid (%),0.4,0.5,0.7,0.6,0.9,1.4,1.0,2.3,4.2,0.2,4.8,0.8,0.3,0.4,0.6,12.0,2.0,0.3,0.3,1.0
Large (%),1.2,3.0,0.8,1.4,1.6,2.0,1.1,0.7,4.3,2.3,3.8,1.2,1.7,2.2,1.8,18.2,1.5,2.5,1.7,1.2


ALL: ,272,538,353,331,418,599,398,634,1644,389,1432,356,310,406,390,5447,625,425,328,367
Small ,15,2,111,27,24,63,63,163,313,4,87,42,1,9,17,723,74,0,3,21
Mid ,69,73,114,87,145,222,163,366,650,26,747,126,43,59,95,1880,313,41,53,163
Large ,188,463,128,217,249,314,172,105,681,359,598,188,266,338,278,2844,238,384,272,183
