,108,151,180,207,233,259,285,311,337,363,389,415,441,468,482
488,130,47,130,208,138,434,295,236,213,385,424,362,333,441,515
462,0,0,0,0,0,0,58,47,67,32,16,0,25,100,167
436,0,0,0,0,3,82,88,60,22,0,0,0,7,129,223
410,0,0,0,0,6,52,95,111,143,37,14,0,12,91,265
384,0,2,19,0,0,211,26,0,9,0,0,0,0,150,478
358,0,0,0,0,25,20,58,24,16,0,0,0,0,104,252
332,0,12,0,162,79,9,5,70,18,3,0,0,36,111,256
306,0,3,0,45,81,1,0,4,0,30,9,8,25,74,197
280,0,0,0,2,16,0,43,64,0,39,9,0,29,17,81
254,0,0,30,106,0,4,0,0,7,0,69,0,0,0,92
228,0,0,0,0,0,0,0,11,0,80,0,0,0,0,206
201,0,0,0,0,0,16,83,6,0,2,0,0,4,0,0
172,0,0,0,0,0,0,0,0,7,0,0,0,0,0,32
144,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7
127,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
