类别,尺度,样本数量,loss,平均
,S,0.0,0.0,0
bus,M,163.0,14891.184934432265,91.35696278792801
,L,2064.0,160044.2665864341,77.54082683451264
,S,0.0,0.0,0
dog,M,127.0,12643.641166650516,99.55622965866547
,L,4480.0,352665.85484763974,78.72005688563387
,S,519.0,10507.157795250798,20.245005385839686
sheep,M,1059.0,112811.82975592496,106.52675142202546
,L,1669.0,167759.4526436798,100.51495065529048
,S,2.0,179.5978,89.7989
aeroplane,M,454.0,38268.58770603484,84.29204340536309
,L,2196.0,131204.57989190076,59.74707645350672
,S,0.0,0.0,0
bicycle,M,286.0,31900.38929248942,111.53982270101196
,L,3148.0,280330.06488064775,89.0502112073214
,S,148.0,8151.693174234258,55.07900793401525
bird,M,1034.0,97740.5748635,94.52666814651838
,L,3816.0,274550.027394812,71.94707216845177
,S,57.0,2323.0570687520108,40.75538717108791
boat,M,1270.0,132660.60703948516,104.4571708972324
,L,2209.0,191364.28052333443,86.62937099290829
,S,504.0,9790.089754687797,19.424781259301184
bottle,M,2403.0,182951.71247573924,76.1347118084641
,L,2839.0,181806.64760135143,64.03897414630202
,S,427.0,15830.513940544351,37.07380313944813
car,M,4433.0,396818.17986221844,89.51459053963872
,L,9182.0,552897.5463808762,60.21537207371773
,S,0.0,0.0,0
cat,M,72.0,9692.583151549721,134.61921043819058
,L,3175.0,227163.48285739557,71.54755365587262
,S,46.0,3761.0101229470006,81.76108962928262
chair,M,2582.0,333616.9978782915,129.2087520829944
,L,9714.0,977667.4167767724,100.64519423273342
,S,55.0,2198.143936454343,39.96625339007896
cow,M,594.0,66440.98972173873,111.8535180500652
,L,2496.0,227705.29124943382,91.22808143006162
,S,0.0,0.0,0
diningtable,M,8.0,1681.593199824999,210.19914997812486
,L,2508.0,257431.53774680124,102.64415380653958
,S,0.0,0.0,0
horse,M,140.0,15412.279744634041,110.08771246167173
,L,3379.0,267722.1764562693,79.23118569288822
,S,19.0,1599.2496639326,84.17103494382106
motorbike,M,322.0,38918.59361197539,120.8651975527186
,L,2940.0,257771.03126442325,87.6772215185113
,S,922.0,26562.96792460207,28.81016043883088
person,M,9084.0,730570.5134011733,80.4238786218817
,L,35979.0,2557548.193826805,71.08447132568456
,S,72.0,1360.3537770845994,18.893802459508326
pottedplant,M,1297.0,148905.86354439135,114.80791329559858
,L,3816.0,356389.156392817,93.39338479895623
,S,0.0,0.0,0
sofa,M,59.0,9041.855730165376,153.2517920367013
,L,3647.0,348605.5187581199,95.58692590022481
,S,0.0,0.0,0
train,M,104.0,9460.174768139606,90.9632189244193
,L,2582.0,165990.88740248472,64.2877178166091
,S,40.0,2214.1215565633997,55.35303891408499
tvmonitor,M,488.0,59970.65426974154,122.89068497897857
,L,2719.0,225865.1285592297,83.06919034910986
