类别,尺度,Bboxs数量,样本数量,loss,平均,剩余loss,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16
person,L,35979.0,16617.0,2557548.193826805,153.91154804277576,0.37675859340326956,0.682,0.764,0.805,0.791,0.795,0.812,0.798,0.804,0.823,0.819,0.778,0.819,0.807,0.82,0.823,0.792
chair,L,9714.0,4648.0,977667.4167767724,210.34152684526083,0.38204033238090374,0.304,0.362,0.419,0.36,0.344,0.413,0.486,0.443,0.459,0.488,0.403,0.427,0.53,0.492,0.477,0.501
car,L,9182.0,5935.0,552897.5463808762,93.15881152163037,0.2468990476566123,0.731,0.778,0.778,0.795,0.844,0.8,0.823,0.828,0.823,0.81,0.822,0.829,0.803,0.772,0.806,0.812
person,M,9084.0,3872.0,730570.5134011733,188.68040118831954,0.27824342256350054,0.463,0.521,0.619,0.606,0.628,0.654,0.672,0.671,0.667,0.659,0.67,0.68,0.677,0.666,0.643,0.703
dog,L,4480.0,3483.0,352665.85484763974,101.2534754084524,0.2512752149881421,0.196,0.557,0.531,0.788,0.796,0.751,0.633,0.745,0.648,0.73,0.69,0.693,0.756,0.645,0.835,0.788
car,M,4433.0,2065.0,396818.17986221844,192.16376748775713,0.2595467496239875,0.53,0.612,0.674,0.703,0.699,0.724,0.727,0.757,0.724,0.755,0.704,0.697,0.749,0.732,0.746,0.75
pottedplant,L,3816.0,2305.0,356389.156392817,154.61568607063643,0.3045877770161314,0.155,0.331,0.369,0.439,0.374,0.399,0.479,0.481,0.501,0.501,0.567,0.501,0.553,0.487,0.55,0.483
bird,L,3816.0,2859.0,274550.027394812,96.0300900296649,0.21597957849099003,0.464,0.652,0.761,0.817,0.783,0.766,0.852,0.853,0.899,0.881,0.881,0.864,0.84,0.835,0.858,0.887
sofa,L,3647.0,3175.0,348605.5187581199,109.797013782085,0.38715307261749743,0.378,0.279,0.297,0.452,0.418,0.516,0.55,0.55,0.471,0.462,0.497,0.485,0.459,0.51,0.417,0.454
horse,L,3379.0,2431.0,267722.1764562693,110.12841483186725,0.2933026534082671,0.476,0.559,0.76,0.577,0.651,0.8,0.643,0.78,0.741,0.811,0.751,0.732,0.83,0.753,0.711,0.838
cat,L,3175.0,2767.0,227163.48285739557,82.09739170849136,0.23076297281933023,0.728,0.747,0.787,0.672,0.675,0.778,0.87,0.804,0.866,0.877,0.824,0.89,0.871,0.904,0.843,0.835
bicycle,L,3148.0,1979.0,280330.06488064775,141.65238245611306,0.30217712516653183,0.466,0.574,0.695,0.686,0.661,0.691,0.798,0.835,0.739,0.793,0.75,0.809,0.882,0.846,0.784,0.753
motorbike,L,2940.0,2047.0,257771.03126442325,125.92624878574658,0.30723062818495317,0.038,0.444,0.564,0.692,0.799,0.688,0.688,0.732,0.779,0.707,0.782,0.768,0.681,0.658,0.786,0.782
bottle,L,2839.0,1725.0,181806.64760135143,105.39515802976895,0.3175209636114956,0.418,0.572,0.65,0.683,0.643,0.703,0.624,0.63,0.712,0.649,0.603,0.672,0.622,0.69,0.68,0.709
tvmonitor,L,2719.0,2164.0,225865.1285592297,104.37390414012462,0.19747581139306547,0.566,0.63,0.664,0.693,0.715,0.75,0.77,0.791,0.777,0.774,0.739,0.814,0.788,0.829,0.781,0.773
train,L,2582.0,2142.0,165990.88740248472,77.49341148575384,0.18177494994298682,0.519,0.732,0.565,0.791,0.491,0.815,0.776,0.781,0.767,0.767,0.804,0.789,0.819,0.82,0.8,0.765
chair,M,2582.0,1056.0,333616.9978782915,315.92518738474575,0.29026556758278943,0.202,0.329,0.287,0.356,0.364,0.374,0.363,0.427,0.438,0.404,0.367,0.41,0.412,0.469,0.463,0.45
diningtable,L,2508.0,2210.0,257431.53774680124,116.48485870895983,0.47538030307282675,0.104,0.243,0.361,0.397,0.506,0.448,0.463,0.536,0.515,0.534,0.508,0.421,0.543,0.537,0.544,0.54
cow,L,2496.0,1133.0,227705.29124943382,200.9755439094738,0.31042364969042213,0.031,0.313,0.307,0.438,0.312,0.455,0.498,0.677,0.515,0.453,0.518,0.594,0.752,0.569,0.589,0.666
