类别,尺度,样本数量,loss,平均,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16
person,L,35979.0,2557548.193826805,71.08447132568456,0.702,0.774,0.835,0.824,0.839,0.863,0.851,0.861,0.887,0.879,0.859,0.89,0.883,0.883,0.897,0.883
chair,L,9714.0,977667.4167767724,100.64519423273342,0.325,0.404,0.463,0.433,0.421,0.52,0.59,0.58,0.594,0.644,0.557,0.615,0.704,0.709,0.684,0.709
car,L,9182.0,552897.5463808762,60.21537207371773,0.776,0.825,0.838,0.86,0.898,0.872,0.895,0.903,0.901,0.896,0.905,0.909,0.899,0.906,0.9,0.906
person,M,9084.0,730570.5134011733,80.4238786218817,0.487,0.564,0.671,0.674,0.705,0.746,0.769,0.785,0.789,0.786,0.798,0.815,0.815,0.841,0.805,0.841
dog,L,4480.0,352665.85484763974,78.72005688563387,0.217,0.605,0.6,0.838,0.841,0.828,0.735,0.846,0.763,0.835,0.819,0.824,0.876,0.893,0.914,0.893
car,M,4433.0,396818.17986221844,89.51459053963872,0.572,0.666,0.735,0.774,0.78,0.808,0.815,0.839,0.825,0.849,0.831,0.824,0.857,0.864,0.857,0.864
pottedplant,L,3816.0,356389.156392817,93.39338479895623,0.22,0.365,0.426,0.543,0.521,0.593,0.681,0.688,0.732,0.733,0.768,0.741,0.769,0.747,0.776,0.747
bird,L,3816.0,274550.027394812,71.94707216845177,0.494,0.708,0.82,0.87,0.872,0.868,0.917,0.922,0.942,0.942,0.944,0.943,0.927,0.957,0.939,0.957
sofa,L,3647.0,348605.5187581199,95.58692590022481,0.413,0.284,0.313,0.487,0.444,0.596,0.622,0.659,0.589,0.594,0.636,0.655,0.588,0.634,0.574,0.634
horse,L,3379.0,267722.1764562693,79.23118569288822,0.475,0.543,0.786,0.595,0.676,0.862,0.702,0.861,0.839,0.88,0.848,0.854,0.91,0.917,0.849,0.917
cat,L,3175.0,227163.48285739557,71.54755365587262,0.762,0.789,0.82,0.729,0.75,0.846,0.919,0.876,0.921,0.935,0.903,0.941,0.931,0.916,0.917,0.916
bicycle,L,3148.0,280330.06488064775,89.0502112073214,0.491,0.616,0.768,0.737,0.704,0.768,0.858,0.89,0.835,0.863,0.859,0.891,0.941,0.868,0.889,0.868
motorbike,L,2940.0,257771.03126442325,87.6772215185113,0.042,0.55,0.661,0.762,0.857,0.783,0.789,0.833,0.864,0.818,0.87,0.868,0.79,0.882,0.887,0.882
bottle,L,2839.0,181806.64760135143,64.03897414630202,0.391,0.557,0.647,0.675,0.726,0.805,0.791,0.806,0.865,0.838,0.816,0.86,0.835,0.895,0.883,0.895
tvmonitor,L,2719.0,225865.1285592297,83.06919034910986,0.583,0.67,0.706,0.766,0.762,0.84,0.863,0.89,0.878,0.89,0.879,0.904,0.908,0.903,0.897,0.903
train,L,2582.0,165990.88740248472,64.2877178166091,0.528,0.71,0.607,0.813,0.546,0.862,0.846,0.869,0.861,0.859,0.878,0.87,0.894,0.864,0.879,0.864
